title,bassett_author,arxiv,doi,no_access,diversity_statement,mm,wm,mw,ww
(In) citing Action to Realize an Equitable Future,1,0,10.1016/j.neuron.2020.05.011,0,0,,,,
A causal study of bumetanide on a marker of excitatory-inhibitory balance in the human brain,0,0,10.1101/2020.09.22.304279,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [62–66]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender and other factors. We obtained predicted gender of the first and last author of each reference by using databases that stores the probability of a name being carried by a woman[66, 67]. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contained 3.8% woman(first)/woman(last), 3.8% man/woman, 22.6% woman/man, 69.8% man/man, and 0% unknown categorization. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices inscience.",69.8,22.6,3.8,3.8
Binary mesoscale architecture does not explain controllability of structural brain networks,1,arXiv:2002.06514v3,0,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papersfrom women and other minorities are under-cited relative to the number of such papers in the field[104, 105, 106, 107, 108]. Here we sought to proactively consider choosing references that reflect thediversity of the field in thought, form of contribution, gender, race, geography, and other factors. We usedautomatic classification of gender based on the first names of the first and last authors [104], with codefreely available athttps://github.com/dalejn/cleanBib. Possible combinations for the first and seniorauthors include male/male, male/female, female/male, and female/female. After excluding self-citationsto the first and senior authors of our current paper, the references in this work contain 58.6% male/male,8% male/female, 18.4% female/male, 3.4% female/female, and 11.5% unknown citation categorizations.We look forward to future work that could help us better understand how to support equitable practicesin scienc",58.6,18.4,8,11.5
Brain connectivity at rest predicts individual differences in normative activity during movie watching,0,0,10.1101/2021.01.06.425410,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minority scholars are under-cited relative to the number of such papers in the field (Caplar et al., 2017; Dion et al., 2018; Dworkin et al., 2020; Maliniak et al., 2013; Mitchell et al., 2013). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, ethnicity, and other factors. First, we obtained the predicted gender of the first and last author of each reference by using databases that store the probability of a first name being carried by a woman (Dworkin et al., 2020; Zhou et al., 2020). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 5.88% woman(first)/woman(last), 3.92% man/woman, 29.41% woman/man, and 60.78% man/man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. Second, we obtained predicted racial/ethnic categories of the first and last author of each reference by databases that store the probability of a first and last name being carried by an author of color (Ambekar et al., 2009; Sood & Laohaprapanon, 2018). By this measure (and excluding self-citations), our references contain 6.16% author of color (first)/author of color(last), 15.95% white author/author of color, 24.05% author of color/white author, and 53.84% white author/white author. This method is limited in that a) names and Florida Voter Data to make the predictions may not be indicative of racial/ethnic identity, and b) it cannot account for Indigenous and mixed-race authors, or those who may face differential biases due to the ambiguous racialization or ethnicization of their names. We look forward to future work that could help us to better understand how to support equitable practices in available under aCC-BY-NC 4.0 International license. (which was not certified by peer review) is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made bioRxiv preprint doi: https://doi.org/10.1101/2021.01.06.425410; this version posted January 10, 2021. The copyright holder for this preprint 32 science",60.78,29.41,3.92,5.88
Citation Diversity Statement in BMES Journals,0,0,10.1007/s10439-021-02739-6,0,0,,,,
Compressibility of complex networks,1,arXiv:2011.08994 ,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (41–46). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman (45, 47). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 16% woman(first)/woman(last), 17% man/woman, 18% woman/man, and 50% man/man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity, and b) it cannot account for intersex, non-binary, or transgender people. Second, we obtained predicted racial/ethnic category of the first and last author of each reference by databases that store the probability of a first and last name being carried by an author of color (48, 49). By this measure (and excluding selfcitations), our references contain 9% author of color(first)/author of color(last), 14% white author/author of color, 15% author of color/white author, and 62% white author/white author. This method is limited in that a) names, Census entries, and Wikipedia profiles used to make the predictions may not be indicative of racial/ethnic identity, and b) it cannot account for Indigenous and mixed-race authors, or those who may face differential biases due to the ambiguous racialization or ethnicization of their names. We look forward to future work that could help us to better understand how to support equitable practices in science.",50,18,17,16
COVID-19 Lockdowns and Scientific Productivity in Female Researchers: The Case of the Chilean Young Investigator Grant 2020,0,0,10.31219/osf.io/ek6aq,0,0,,,,
Criticism of the paper “The association between early career informal mentorship in academic collaborations and junior author performance”,0,0,10.31234/osf.io/cngmy,0,0,,,,
Crystalline shielding mitigates structural rearrangement and localizes memory in jammed systems under oscillatory shear,1,arXiv:2004.06065,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to other papers in the field50–55. Here we sought to proactively consider choosing references that reflect the diversity of our field in thought, form of contribution, gender, and other factors. We used automatic classification of gender based on the first names of the first and last authors50, with possible combinations including male/male, male/female, female/male, and female/female. Code for this classification is open-source and available online56. We regret that our current methodology is limited to consideration of gender as a binary variable. Excluding self-citations to the first and senior authors of our present paper, the references contain 67.4%male/male, 15.2% male/female, 13.0% female/male,and 4.3% female/female categorization. We look for-ward to future work that will help us to better under-stand how to support equitable practices in science.",67.4,13,15.2,4.3
Daily and momentary sensation-seeking and urgency in young adults: Associations with risk-taking and sleep,1,,10.31234/osf.io/b9dez,0,0,,,,
Deep Neural Networks Carve the Brain at its Joints,1,arXiv:2002.08891,10.1101/2020.02.20.958082,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field52–54. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, geographic location, and other factors. We used open-source code55 that uses an automatic classification of gender (gender-api.com) based on the first names of the first and last authors, with possible combinations including man-man, man-woman, woman-man, woman-woman. Excluding self-citations to the first and senior authors of our current paper, the references contain 57% (n=25) man-man, 16% (n=7) man-woman, 16% (n=7) woman-man, and 11% (n=5) woman-woman. Expected proportions in the top 5 neuroscience journals, as reported in Dworkin et al54 are, respectively: 58.4%, 9.4%, 25.5%, and 6.7%. We look forward to future work that could help us to better understand how to support equitable practices in science.",57,16,16,11
Defining and predicting transdiagnostic categories of neurodegenerative disease,1,0,10.1038/s41551-020-0593-y,1,0,,,,
Efficient Coding in the Economics of Human Brain Connectomics,1,arXiv:2001.05078,10.1101/2020.01.14.906842,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [80, 81,82, 83, 84, 85]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We used automatic classification of gender based on the first names of the first and last authors [80], with possible combinations including male/male,male/female, female/male, female/female. Excluding self-citations to the senior authors of our current paper,the references contain 58.0% male/male, 8.7% male/female, 21.7% female/male, 7.2% female/female, and4.3% unknown categorization. We look forward to future work that could help us to better understand how to support equitable practices in science.",58,21.7,8.7,7.2
Emergence of Hierarchy in Networked Endorsement Dynamics,0,arXiv:2007.04448v3,0,0,"Recent work in several fields of science has identified gender bias in citation practices—papers by women and other minorities are systematically under-cited in their fields [Mitchell et al., 2013; Dion et al., 2018; Caplar et al., 2017; Maliniak et al., 2013; Dworkin et al., 2020]. Gender bias can arise through explicit and implicit bias against a person’s known gender identity, or against a name commonly used by members of a marginalized gender identity [MacNell et al., 2015; Paludi and Strayer, 1985; Moss-Racusin et al., 2012]. In this work, we proactively sought to include relevant citations by non-male authors. We manually gender-coded the authors in the works cited according to personal acquaintance, instances of pronoun usage online, or first name. This method is limited: names and pronouns may not be indicative of gender identity; gender identity may change over time; and our manual coding is inherently subjective 10 and subject to error. We focused on the first and last authors because typically, though not always, the former is the leading researcher and the latter the senior author in the disciplines included in our references. Of the works cited in the main text, 29% had a non-male first author and 13% had a non-male last author. Of those with at least two authors, 38% had either a non-male first author or a non-male last author. This statement was modeled after those found in [Torres et al., 2020; Dworkin et al., 2020]. We join those authors and many others in calling for collective effort to promote equitable practices in science.",,,,
Evaluating the sensitivity of functional connectivity measures to motion artifact in resting-state fMRI data,1,0,10.1101/2020.05.04.072868,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field84–89. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman87,90. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 13.9% woman/woman, 10.1% man/woman, 22.8% woman/man, and 53.2% man/man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science",53.2,22.8,10.1,13.9
Facing racism and sexism in science by fighting against social implicit bias: a Latin and Black woman perspective.,0,0,10.20944/preprints202101.0236.v1,0,0,,,,
"Faulty evidence, specious logic, dangerous conclusions: Challenging gendered ideas of mentorship",0,0,10.31219/osf.io/zqtky,0,0,,,,
Flawed Data and Unjustified Conclusions Cannot Elevate the Status of Women in Science,0,0,10.31234/osf.io/qn3ae,0,0,,,,
Functional brain network community structure in childhood: Unfinished territories and fuzzy boundaries,1,0,10.1101/2021.01.21.427677,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [108–110]. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman [111, 112].  By this measure (and excluding self-citations to the authors of our current paper), our references contain 18 % woman(first author)/woman(last author), 9 % man/woman, 25 % woman/man, and 47 % man/man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or der people. We look forward to future work that could help us to better understand how to support equitable practices in science.",47,25,9,18
Functional Connectivity Network Disruption Underlies Domain-Specific Impairments in Attention for Children Born Very Preterm,0,0,10.1093/cercor/bhaa303,0,"Recent work in neuroscience has identified a bias in citation practices such that manuscripts written by women and other minorities are under-cited relative to the number of such papers in the field (Dworkin et al. 2020a, 2020b). Here, we quantify the citation diversity of the present manuscript excluding self-citations of the first and last authors of this manuscript. Our reference list contains 37.5% man–man (first author-last author), 40.3% woman–man, 11.1% man–woman, and 11.1% woman–woman citations.",37.5,40.3,11.1,11.1
Functional Use of Eye Movements for an Acting System,0,0,10.1016/j.tics.2020.12.006,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [103]. We sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman [104,105]. By this measure (and excluding self-citations to all authors of our current article), our references contain 10% woman(first)/woman(last), 4% man/woman, 27% woman/man, and 59% man/man categorizations. This method is limited in that (i) names, pronouns, and social media profiles used to construct the databases may not be indicative of gender identity in every case, and (ii) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",59,27,4,10
Gender (im) balance in citation practices in cognitive neuroscience,0,0,10.1101/2020.08.19.257402,0,0,,,,
Gender and quality at top economics journals,0,0,0,0,0,,,,
Gendered Citation Practices in the Field of Communication,1,0,10.31234/osf.io/ywrcq,0,"Recent work in several fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (Chakravartty et al., 2018; Mitchell et al., 2013; Maliniak et al., 2013; Caplar et al., 2017; Dion et al., 2018; Dworkin et al., 2020). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman (Dworkin et al., 2020; Zhou et al., 2020). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 29.5% woman(first)/woman(last), 18.2% man/woman, 22.7% woman/man, 29.5% man/man, and 0% unknown categorization. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",29.5,22.7,18.2,29.5
Habit learning supported by efficiently controlled network dynamics in naive macaque monkeys,1,arXiv:2006.14565,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (116–120). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman (120, 121). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 10.6% woman(first)/woman(last), 5.8% man/woman, 19.2% woman/man, 57.7% man/man, and 6.73% unknown categorization. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",57.7,19.2,5.8,10.6
Ideological measurement in social and political psychology,0,0,10.31234/osf.io/wpsje,0,0,,,,
Inferring the heritability of large-scale functional networks with a multivariate ACE modeling approach,0,0,10.1101/437335,0,"Recent work in neuroscience and other fields identified a bias in citation practices such 658that papers from women and other minorities are under-cited relative to the number of 659such papers in the field(Caplar, Tacchella, & Birrer, 2017; Dion, Sumner, & Mitchell, 6602018; Dworkin et al., 2020; Maliniak, Powers, & Walter, 2013; Mitchell, Lange, & Brus, 6612013). Here we sought to proactively consider choosing references that reflect the 662diversity of the field in thought, form of contribution, gender, and other factors. Gender 663of the first and last author of each reference was predicted by using databases that store 664the probability of a name being carried by a man or a woman(Dworkin et al., 2020).By 665this measure (and excluding self-citations to the first and last authors of our current 666paper), our references contain 10.31% woman(first)/woman(last), 18.36% man/woman, 21.55% woman/man, and 49.78% man/man.We look forward to future work that could 668help us to better understand how to support equitable practices in science.669Ackno",49.78,21.55,18.36,10.31
Integrating multimodal connectivity improves prediction of individual cognitive abilities,0,0,10.1101/2020.06.25.172387,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (Maliniak et al., 2013, Caplar et al., 2017, Chakravartty et al., 2018, Thiem et al., 2018, Dion et al., 2018, Dworkin et al., 2020). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We used classification of gender based on the first names of the first and last authors(Dworkin et al., 2020), with possible combinations including male/male, male/female, female/male, and female/female. Excluding self-citations to the first and last authors of ourcurrent paper, the references contain54.7%male/male,17.4% male/female,19.8% female/male, and8.1% female/female. We look forward to future work that could help us tobetter understand how to support equitable practices in science.",54.7,19.8,17.4,8.1
Is the brain macroscopically linear? A system identification of resting state dynamics,1,arXiv:2012.12351v1,0,0,"Recent  work  inseveral fields of science has identified a bias in cita-tion practices such that papers from women and otherminorities are under-cited relative to the number ofsuch papers in the field [68–72].  Here we sought toproactively  consider  choosing  references  that  reflectthe  diversity  of  the  field  in  thought,  form  of  con-tribution,  gender,  and  other  factors.   We  obtainedpredicted gender of the first and last author of eachreference  by  using  databases  that  store  the  proba-bility  of  a  name  being  carried  by  a  woman  [72, 73].By this measure (and excluding self-citations to thefirst  and  last  authors  of  our  current  paper),  ourreferences contain 8.82% woman(first)/woman(last),19.12%   man/woman,    16.18%   woman/man,    and54.41%  man/man.   This  method  is  limited  in  thata)  names,  pronouns,  and  social  media  profiles  usedto  construct  the  databases  may  not,  in  every  case,be indicative of gender identity and b) it cannot ac-count  for  intersex,  non-binary,  or  transgender peo-ple.  Second, we obtained predicted racial/ethnic cat-egory of the first and last author of each reference bydatabases that store the probability of a first and lastname being carried by an author of color [74, 75].  Bythis  measure  (and  excluding  self-citations),  our  ref-erences contain 14.36% author of color (first)/authorof color(last),  16.41% white author/author of color,23.71%  author  of  color/white  author,  and  45.52%white author/white author. This method is limited inthat a) names, Census entries, and Wikipedia profilesused to make the predictions may not be indicative ofracial/ethnic identity, and b) it cannot account for In-digenous and mixed-race authors, or those who mayface differential biases due to the ambiguous racializa-tion or ethnicization of their names.  We look forwardto  future  work  that  could  help  us  to  better  under-stand how to support equitable practi",54.41,16.18,19.12,8.82
Is There Color or Sex Behind the Mask and Sterile Blue? Examining Sex and Racial Demographics Within Academic Surgery,0,0,10.1097/SLA.0000000000004461,0,0,,,,
Learning differentially reorganizes brain activity and connectivity,1,0,10.1101/2020.02.23.961623,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field 70– 72. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, geographic location, and other factors. We used open source code73an automatic classification of gender (gender-api.com) based on the first names of the first and last authors, with possible combinations including man-man, man-woman, woman-man, woman-woman. Excluding self-citations to the first and senior authors of our current paper, the references contain 56% (n=32) man-man, 12.5% (n=7) man-woman, 17.5% (n=10) woman-man, and 14% (n=8) woman-woman. Expected proportions reported in Dworkin et al. (2020) 70 for 5 high-impact neuroscience journals are, respectively: 58.4%, 9.4%, 25.5%, and 6.7%. We look forward to future work that could help us to better understand how to support equitable practices in science.",56,17.5,12.5,14
Learning in brain-computer interface control evidenced by joint decomposition of brain and behavior,1,0,10.1088/1741-2552/ab9064,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [18, 20, 31, 73, 104]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We used automatic classification of gender based on the first names of the first and last authors [33, 113], with possible combinations including man/man, man/woman, woman/man, and woman/woman. Code for this classification is open-source and available online [113]. We regret that our current methodology is limited to consideration of gender as a binary variable. Excluding self-citations to the senior author of our current paper, the references contain 55.2% man/man, 11.5% man/woman, 21.9% woman/man, 11.5% woman/woman, and 1.0% unknown categorization. We look forward to future work that could help us to better understand how to support equitable practices in science.",55.2,21.9,11.5,11.5
Look where you go: characterizing eye movements toward optic flow,0,0,10.1101/2020.10.02.324384,0,"To increase the transparency ofgender imbalance in reference lists in the field of neuroscience (Dworkin, Linn, Teich, Zurn, Shinohara, & Bassett, 2020), thegender balance of papers cited within this paper was quantified using a combination of automated gender-api.com estimation and manual gender determination from authors’ publicly available pronouns(see Zhou et al., 2020 for more information). Among the cited works, 59% were MM (male first-author, male last-author), 16% were WM (female first-author, male last-author),17%were MW (male first-author, female last-author), and 8% were WW (female first-author, female last-author).",59,16,17,8
"Men, women and STEM: Why the differences and what should be done?",0,0,10.1177/0890207020962326,0,,,,,
"Metal Bound or Free Ylides as Reaction Intermediates in Metal-Catalyzed [2,3]-Sigmatropic Rearrangements? It Depends",0,0,10.1021/acscatal.0c04768,0,"Studies in the literaturefind that women and otherunderrepresented minorities are undercited in their respectivefields.98,99Herein, we tried our best to accurately cite relevantstudies pertinent to this study while being mindful of thegender balance of the reference list. The references contain69% man/man, 16% woman/man, 3% man/woman, 1%woman/woman, and 11% unknown categorization (werecognize that this list is limited to binary gender identitiesand we look forward to the day when this can accommodateintersex, transgender, and/or nonbinary identities).97Thesepercentages reflect the gender imbalances that persist inorganic chemistry and more broadly in science, technology,engineering, and mathematics (STEM)fields.100Clearly, morework needs to be done to correct this imbalance for futuregenerations of scientists",69,16,3,1
"Modeling brain, symptom, and behavior in the winds of change",1,0,10.1038/s41386-020-00805-6,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [154,155,156,157,158,159]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman [154, 160]. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 12% woman(first)/woman(last), 14.5% man/woman, 19.7% woman/man, 53.8% man/man, and 0% unknown categorization. This method is limited in that (a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and (b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",53.8,19.7,14.5,12
"Models of communication and control for brain networks: distinctions, convergence, and future outlook",1,0,10.1162/netn_a_00158,0,"Recent work in neuroscience and other fields has identified a bias in citation practices suchthat papers from women and other minorities are under-citedrelative to the number of suchpapers in the field (Caplar, Tacchella, & Birrer,2017;Chakravartty, Kuo, Grubbs, & McIlwain,2018;Dion, Sumner, & Mitchell,2018;Dworkin et al.,2020;Maliniak, Powers, & Walter,2013;Thiem, Sealey, Ferrer, Trott, & Kennison,2018). Here we sought to proactively considerchoosing references that reflect the diversity of the field inthought, race, geography, form ofcontribution, gender, and other factors. We used automaticclassification of gender based onthe first names of the first and last authors (Dworkin et al.,2020), with possible combinationsincluding male/male, male/female, female/male, and female/female. Excluding self-citationsto the first and senior author of our current paper, the references contain56.4%male/male,16.4%male/female,18.5%female/male,7.7%female/female, and1%unknown categorization(codes inZhou et al.,2020, were used to estimate these numbers). We look forward to futurework that could help us to better understand how to support equitable practices in scien",56.4,18.5,16.4,7.7
Multimodal in vivo recording using transparent graphene microelectrodes illuminates spatiotemporal seizure dynamics at the microscale,1,0,10.1101/2020.06.04.134189,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field65–70. Here, we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender and other factors. We used automatic classification of gender based on the first names of the first and last authors65,71, with possible combinations including male/male, male/female, female/male, and female/female. Excluding self-citations to the senior authors of our current paper, the references contain 50% male/male, 28% female/male, 13% female/male, and 9% female/female categorization. We look forward to future work that could help us to better understand how to support equitable practices in science",50,28,13,9
Network controllability in transmodal cortex predicts psychosis spectrum symptoms,1,arXiv:2010.00659v1,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minority scholarsare under-cited relative to the numberof such papers in the field (89–93). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, ethnicity, and other factors. First, we obtained the predicted gender of the first and last author of each reference by using databases that store the probability of a first name being carried by a woman(93,94). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 9.46% woman(first)/woman(last), 14.01% man/woman, 22.11% woman/man, and 54.42% man/man.This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. Second, we obtained predicted racial/ethnic category of the first and last author of each reference by databases that store the probability of a first and last name being carried by an author of color (95,96). By this measure (and excluding self-citations), our references contain 10.76% author of color (first)/author of color(last), 17.75% white author/author of color, 18.94% author of color/white author, and 52.56% white author/white author.This method is limited in that a) names and Wikipedia profiles used to make the predictions may not be indicative of racial/ethnic identity, and b) it cannot account for Indigenous and mixed-race authors, or those who may face differential biases due to the ambiguous racialization or ethnicization of their names.  We look forward to future work that could help us to better understand how to support equitable practices in science.",54.42,22.11,14.01,9.46
New approaches to the emerging social neuroscience of human-robot interaction,0,0,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minority scholarsare under-cited relative to the number of such papers in the field(Dworkin et al., 2020). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, ethnicity, and other factors. First, we obtained the predicted gender of the first and last author of each reference by using databases that store the probability of a first name being carried by a woman(Dworkin et al., 2020). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 16.22% woman(first)/woman(last), 12.16% man/woman, 14.03% woman/man, and 57.59% man/man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science",57.59,14.02,12.16,16.22
